Squeezing [dB],X,P,Bipartition ID,Bipartition 1,Bipartition 2
3.590219426,n_x_0+n_x_4,n_p_0-n_p_6,16692,"[1, 3, 5, 6, 9, 15]","[2, 4, 7, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_6,n_p_8-n_p_0,16693,"[2, 3, 5, 6, 9, 15]","[1, 4, 7, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_0-n_p_6,16694,"[1, 2, 3, 5, 6, 9, 15]","[4, 7, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0+n_x_2+n_x_1+n_x_3+n_x_7,#NAME?,16695,"[4, 5, 6, 9, 15]","[1, 2, 3, 7, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_4,n_p_0-n_p_6,16696,"[1, 4, 5, 6, 9, 15]","[2, 3, 7, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_6,n_p_0-n_p_8,16697,"[2, 4, 5, 6, 9, 15]","[1, 3, 7, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_1,n_p_0-n_p_6,16698,"[1, 2, 4, 5, 6, 9, 15]","[3, 7, 8, 10, 11, 12, 13, 14, 16]"
4.259687322722812,n_x_0-n_x_7,n_p_8-n_p_6-n_p_10-n_p_2,10307,"[3, 7, 12, 14]","[1, 2, 4, 5, 6, 8, 9, 10, 11, 13, 15, 16]"
3.590219426,n_x_0+n_x_4,n_p_0-n_p_6,16700,"[1, 3, 4, 5, 6, 9, 15]","[2, 7, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_6,n_p_0-n_p_8,16701,"[2, 3, 4, 5, 6, 9, 15]","[1, 7, 8, 10, 11, 12, 13, 14, 16]"
3.010299957,n_x_0,n_p_0,16702,"[1, 2, 3, 4, 5, 6, 9, 15]","[7, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_3,16703,"[7, 9, 15]","[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_3,16704,"[1, 7, 9, 15]","[2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_5-n_x_6,n_p_1+n_p_3,16705,"[2, 7, 9, 15]","[1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_6,n_p_2-n_p_0,16706,"[1, 2, 7, 9, 15]","[3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0-n_x_6,n_p_3-n_p_8+n_p_0,16707,"[3, 7, 9, 15]","[1, 2, 4, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2-n_p_4,16708,"[1, 3, 7, 9, 15]","[2, 4, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_5,n_p_8+n_p_2,16709,"[2, 3, 7, 9, 15]","[1, 4, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_2-n_p_0,16710,"[1, 2, 3, 7, 9, 15]","[4, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
4.259687322722812,n_x_7+n_x_11-n_x_5,n_p_0,11216,"[1, 5, 7, 8, 9, 10, 12, 14]","[2, 3, 4, 6, 11, 13, 15, 16]"
3.979400086720376,n_x_7+n_x_20+n_x_0+n_x_5+n_x_8-n_x_19-n_x_18,n_p_0+n_p_2-n_p_1,16407,"[4, 5, 15]","[1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0+n_x_5+n_x_6,n_p_2-n_p_4,16712,"[1, 4, 7, 9, 15]","[2, 3, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.979400087,n_x_0+n_x_6+n_x_5,n_p_2+n_p_8,16713,"[2, 4, 7, 9, 15]","[1, 3, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_2-n_p_0,16714,"[1, 2, 4, 7, 9, 15]","[3, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
4.259687322722812,n_x_0,n_p_6+n_p_8-n_p_9,11633,"[2, 5, 6, 7, 9, 11, 12, 14]","[1, 3, 4, 8, 10, 13, 15, 16]"
3.590219426,n_x_0+n_x_3,n_p_6+n_p_0,16715,"[3, 4, 7, 9, 15]","[1, 2, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_6,16716,"[1, 3, 4, 7, 9, 15]","[2, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
3.590219426,n_x_0+n_x_3,n_p_0+n_p_6,16717,"[2, 3, 4, 7, 9, 15]","[1, 5, 6, 8, 10, 11, 12, 13, 14, 16]"
