Squeezing [dB],Operators,Bipartition ID,Bipartition 1,Bipartition 2
3.59021942641668,"('n_x_0-n_x_1', 'n_p_0+n_p_6')",523,"[3, 4, 10]","[1, 2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.59021942641668,"('n_x_0-n_x_1', 'n_p_0+n_p_6')",524,"[1, 3, 4, 10]","[2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.59021942641668,"('n_x_0-n_x_1', 'n_p_0+n_p_6')",525,"[2, 3, 4, 10]","[1, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_1')",526,"[1, 2, 3, 4, 10]","[5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_5', 'n_p_2+n_p_4-n_p_8')",521,"[2, 4, 10]","[1, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
4.771212547196625,"('n_x_0+n_x_2', 'n_p_5-n_p_7+n_p_17+n_p_20')",295,"[4, 6, 9]","[1, 2, 3, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
4.771212547196625,"('n_x_0+n_x_2', 'n_p_5+n_p_7+n_p_17-n_p_20')",279,"[4, 5, 9]","[1, 2, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_6')",530,"[1, 2, 5, 10]","[3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_0+n_x_2', 'n_p_5-n_p_7-n_p_8+n_p_17')",291,"[3, 6, 9]","[1, 2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_2+n_x_5-n_x_10', 'n_p_0+n_p_8-n_p_17')",319,"[7, 9]","[1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_6', 'n_p_0+n_p_7+n_p_8')",528,"[1, 5, 10]","[2, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_2')",534,"[1, 2, 3, 5, 10]","[4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.979400086720376,"('n_x_0+n_x_6', 'n_p_0-n_p_4+n_p_7')",529,"[2, 5, 10]","[1, 3, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0+n_p_8')",536,"[1, 4, 5, 10]","[2, 3, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
4.259687322722812,"('n_x_0-n_x_6', 'n_p_0+n_p_3-n_p_7+n_p_25')",327,"[4, 7, 9]","[1, 2, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_2')",538,"[1, 2, 4, 5, 10]","[3, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.59021942641668,"('n_x_0-n_x_1', 'n_p_0+n_p_6')",539,"[3, 4, 5, 10]","[1, 2, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_1')",540,"[1, 3, 4, 5, 10]","[2, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_1')",541,"[2, 3, 4, 5, 10]","[1, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0')",542,"[1, 2, 3, 4, 5, 10]","[6, 7, 8, 9, 11, 12, 13, 14, 15, 16]"
